question,gremlin_query
"""Gastone Moschin 出演了多少部作品？""  ","g.V().has('Person', 'name', 'Gastone Moschin').out('ACTED_IN').count()"
"""统计 Gastone Moschin 作为演员参演过的电影总数。""  ","g.V().has('Person', 'name', 'Gastone Moschin').out('ACTED_IN').count()"
"""有多少部影视作品是由 Gastone Moschin 主演的？""","g.V().has('Person', 'name', 'Gastone Moschin').out('ACTED_IN').count()"
列出由 Mario Brega 出演且片长大于 120 分钟的所有影片名称和时长信息。,"g.V().has('Person', 'name', 'Mario Brega').out('ACTED_IN').has('duration', gt(120)).valueMap('title', 'duration')"
Mario Brega 参演了哪些时长超过两小时的电影？请提供片名和具体时长。,"g.V().has('Person', 'name', 'Mario Brega').out('ACTED_IN').has('duration', gt(120)).valueMap('title', 'duration')"
查询演员 Mario Brega 主演的电影中，哪些电影的播放时间超过了 120 分钟，并显示这些电影的标题和持续时间。,"g.V().has('Person', 'name', 'Mario Brega').out('ACTED_IN').has('duration', gt(120)).valueMap('title', 'duration')"
获取'Action'类型(Genre)的名称属性值是什么？,"g.V().has('Genre', 'name', 'Action').values('name')"
'Action'这个分类的名称字段内容是什么？,"g.V().has('Genre', 'name', 'Action').values('name')"
查询图数据库中标签为'Genre'且名称为'Action'的节点的name值。,"g.V().has('Genre', 'name', 'Action').values('name')"
列出由'Eion Bailey'出演且片长大于90分钟的电影名称和对应时长。,"g.V().has('Person', 'name', 'Eion Bailey').out('ACTED_IN').has('duration', gt(90)).valueMap('title', 'duration')"
哪些电影是Eion Bailey参演的并且时长超过了90分钟？请提供片名和具体片长。,"g.V().has('Person', 'name', 'Eion Bailey').out('ACTED_IN').has('duration', gt(90)).valueMap('title', 'duration')"
'Eion Bailey'主演的电影中，哪些影片的时长超过一个半小时？告诉我这些影片的标题和时长信息。,"g.V().has('Person', 'name', 'Eion Bailey').out('ACTED_IN').has('duration', gt(90)).valueMap('title', 'duration')"
哪些电影是由 Kevin Pollak 执导的？,"g.V().has('Person', 'name', 'Kevin Pollak').out('DIRECTED').elementMap()"
列出 Kevin Pollak 作为导演参与的所有作品。,"g.V().has('Person', 'name', 'Kevin Pollak').out('DIRECTED').elementMap()"
Kevin Pollak 导演了哪些影视作品？,"g.V().has('Person', 'name', 'Kevin Pollak').out('DIRECTED').elementMap()"
列出 Christopher Lee 出演且片长超过两小时的所有影片名称和时长信息。,"g.V().has('Person', 'name', 'Christopher Lee').out('ACTED_IN').has('duration', gt(120)).valueMap('title', 'duration')"
哪些由 Christopher Lee 参演的电影时长超过了 120 分钟？请提供片名和具体时长。,"g.V().has('Person', 'name', 'Christopher Lee').out('ACTED_IN').has('duration', gt(120)).valueMap('title', 'duration')"
查询 Christopher Lee 主演的超过 120 分钟的电影，显示它们的标题和持续时间。,"g.V().has('Person', 'name', 'Christopher Lee').out('ACTED_IN').has('duration', gt(120)).valueMap('title', 'duration')"
列出由 Lee Strasberg 出演且片长大于 150 分钟的所有影片名称及其对应时长。,"g.V().has('Person', 'name', 'Lee Strasberg').out('ACTED_IN').has('duration', gt(150)).valueMap('title', 'duration')"
哪些电影是 Lee Strasberg 参演的，并且播放时间超过了两个半小时？请提供片名和时长信息。,"g.V().has('Person', 'name', 'Lee Strasberg').out('ACTED_IN').has('duration', gt(150)).valueMap('title', 'duration')"
查询 Lee Strasberg 主演的电影中时长在 150 分钟以上的作品，返回这些电影的标题和具体片长。,"g.V().has('Person', 'name', 'Lee Strasberg').out('ACTED_IN').has('duration', gt(150)).valueMap('title', 'duration')"
列出 Frank Whaley 参演且片长大于 90 分钟的所有影片名称和时长信息。,"g.V().has('Person', 'name', 'Frank Whaley').out('ACTED_IN').has('duration', gt(90)).valueMap('title', 'duration')"
Frank Whaley 演过哪些时长超过一个半小时的电影？告诉我片名和具体时长。,"g.V().has('Person', 'name', 'Frank Whaley').out('ACTED_IN').has('duration', gt(90)).valueMap('title', 'duration')"
查询演员 Frank Whaley 出演的电影中，哪些时长超过 90 分钟，并显示这些电影的标题和持续时间。,"g.V().has('Person', 'name', 'Frank Whaley').out('ACTED_IN').has('duration', gt(90)).valueMap('title', 'duration')"
展示 Jon Favreau 出演过的电影涉及哪些类型，并列出完整路径  ,"g.V().has('Person', 'name', 'Jon Favreau').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
Jon Favreau 演过的电影分别属于什么类型？请给出从演员到类型的完整关系路径  ,"g.V().has('Person', 'name', 'Jon Favreau').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
列出演员 Jon Favreau 参演作品的所有电影类型，并显示从演员到类型的完整遍历路径,"g.V().has('Person', 'name', 'Jon Favreau').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
有多少部电影是由'Iain Glen'执导的？,"g.V().has('Person', 'name', 'Iain Glen').out('DIRECTED').count()"
'Iain Glen'作为导演参与了多少作品的制作？,"g.V().has('Person', 'name', 'Iain Glen').out('DIRECTED').count()"
统计'Iain Glen'以DIRECTED关系连接的其他节点总数。,"g.V().has('Person', 'name', 'Iain Glen').out('DIRECTED').count()"
"""卡波特这部电影的宣传语是什么？""  ","g.V().has('Movie', 'title', 'Capote').values('tagline')"
"""请告诉我电影《卡波特》的标语内容。""  ","g.V().has('Movie', 'title', 'Capote').values('tagline')"
"""查询名为'Capote'的电影，获取它的tagline属性值。""","g.V().has('Movie', 'title', 'Capote').values('tagline')"
"""这部电影'The LEGO Movie'的时长是多少？""  ","g.V().has('Movie', 'title', 'The LEGO Movie').values('duration')"
"""查询电影'乐高大电影'的播放时长。""  ","g.V().has('Movie', 'title', 'The LEGO Movie').values('duration')"
"""请告诉我《乐高电影》的片长信息。""","g.V().has('Movie', 'title', 'The LEGO Movie').values('duration')"
哪些由 Cornel West 出演的电影时长超过两个半小时，并列出它们的片名和时长？  ,"g.V().has('Person', 'name', 'Cornel West').out('ACTED_IN').has('duration', gt(150)).valueMap('title', 'duration')"
请找出 Cornel West 参演的所有超过 150 分钟的电影，显示影片名称和播放时长。  ,"g.V().has('Person', 'name', 'Cornel West').out('ACTED_IN').has('duration', gt(150)).valueMap('title', 'duration')"
Cornel West 演过哪些电影？只返回时长大于 150 分钟的，并告诉我电影名和具体时长。,"g.V().has('Person', 'name', 'Cornel West').out('ACTED_IN').has('duration', gt(150)).valueMap('title', 'duration')"
哪些电影是由 Chris Buck 出演的？,"g.V().has('Person', 'name', 'Chris Buck').out('ACTED_IN').elementMap()"
Chris Buck 参演了哪些作品？,"g.V().has('Person', 'name', 'Chris Buck').out('ACTED_IN').elementMap()"
列出 Chris Buck 作为演员参与的所有实体。,"g.V().has('Person', 'name', 'Chris Buck').out('ACTED_IN').elementMap()"
哪些电影或作品是由演员 Zach Grenier 出演的？,"g.V().has('Person', 'name', 'Zach Grenier').out('ACTED_IN').elementMap()"
Zach Grenier 参演了哪些影视作品，请列出详细信息？,"g.V().has('Person', 'name', 'Zach Grenier').out('ACTED_IN').elementMap()"
查询 Zach Grenier 作为演员参与的所有项目及其属性。,"g.V().has('Person', 'name', 'Zach Grenier').out('ACTED_IN').elementMap()"
展示 Nash Edgerton 出演影片的所属类型及其完整路径关系。,"g.V().has('Person', 'name', 'Nash Edgerton').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
Nash Edgerton 演过哪些电影？这些电影分别属于什么类型？请给出完整的关联路径。,"g.V().has('Person', 'name', 'Nash Edgerton').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
列出演员 Nash Edgerton 参演作品所涉及的所有电影类型，并显示从演员到类型的完整连接路径。,"g.V().has('Person', 'name', 'Nash Edgerton').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
获取类型为'Thriller'的Genre实体的名称属性值是什么？,"g.V().has('Genre', 'name', 'Thriller').values('name')"
查询名字为'Thriller'的流派(Genre)的名称字段。,"g.V().has('Genre', 'name', 'Thriller').values('name')"
给我找出所有标记为'Thriller'流派的名称信息。,"g.V().has('Genre', 'name', 'Thriller').values('name')"
哪些电影是由 Leigh Brackett 执导的？,"g.V().has('Person', 'name', 'Leigh Brackett').out('DIRECTED').elementMap()"
Leigh Brackett 作为导演参与了哪些作品？,"g.V().has('Person', 'name', 'Leigh Brackett').out('DIRECTED').elementMap()"
列出 Leigh Brackett 执导的所有实体信息。,"g.V().has('Person', 'name', 'Leigh Brackett').out('DIRECTED').elementMap()"
"""电影《非常嫌疑犯》的时长是多少？""  ","g.V().has('Movie', 'title', 'The Usual Suspects').values('duration')"
"""查询名为'The Usual Suspects'的电影持续了多长时间""  ","g.V().has('Movie', 'title', 'The Usual Suspects').values('duration')"
"""告诉我《非常嫌疑犯》这部影片的duration属性值""","g.V().has('Movie', 'title', 'The Usual Suspects').values('duration')"
有多少种电影类型与《沉默的羔羊》相关联？,"g.V().has('Movie', 'title', 'The Silence of the Lambs').out('HAS_GENRE').count()"
《沉默的羔羊》这部电影被划分到多少个不同的类型类别？,"g.V().has('Movie', 'title', 'The Silence of the Lambs').out('HAS_GENRE').count()"
统计《沉默的羔羊》拥有的电影类型数量。,"g.V().has('Movie', 'title', 'The Silence of the Lambs').out('HAS_GENRE').count()"
电影《The Monuments Men》的时长是多少？,"g.V().has('Movie', 'title', 'The Monuments Men').values('duration')"
查询影片《The Monuments Men》的播放时长。,"g.V().has('Movie', 'title', 'The Monuments Men').values('duration')"
《The Monuments Men》这部电影有多长时间？,"g.V().has('Movie', 'title', 'The Monuments Men').values('duration')"
列出由肖恩·康纳利出演且片长超过两小时的所有影片名称及其播放时长。,"g.V().has('Person', 'name', 'Sean Connery').out('ACTED_IN').has('duration', gt(120)).valueMap('title', 'duration')"
哪些电影是肖恩·康纳利主演的，并且时长超过了120分钟？请提供片名和具体时长。,"g.V().has('Person', 'name', 'Sean Connery').out('ACTED_IN').has('duration', gt(120)).valueMap('title', 'duration')"
查询时长大于120分钟，由Sean Connery参演的电影的标题和持续时间。,"g.V().has('Person', 'name', 'Sean Connery').out('ACTED_IN').has('duration', gt(120)).valueMap('title', 'duration')"
'Marianna Hill' 出演了多少部作品？,"g.V().has('Person', 'name', 'Marianna Hill').out('ACTED_IN').count()"
统计名为 'Marianna Hill' 的演员参与演出的电影总数。,"g.V().has('Person', 'name', 'Marianna Hill').out('ACTED_IN').count()"
查询 'Marianna Hill' 通过 ACTED_IN 关系连接了多少个节点？,"g.V().has('Person', 'name', 'Marianna Hill').out('ACTED_IN').count()"
哪些电影是由 Stephen J. Anderson 出演且片长超过两小时的？列出片名和时长。,"g.V().has('Person', 'name', 'Stephen J. Anderson').out('ACTED_IN').has('duration', gt(120)).valueMap('title', 'duration')"
查询 Stephen J. Anderson 参演的所有超过 120 分钟的电影，并显示它们的标题和时长信息。,"g.V().has('Person', 'name', 'Stephen J. Anderson').out('ACTED_IN').has('duration', gt(120)).valueMap('title', 'duration')"
给我找出 Stephen J. Anderson 主演的时长大于 120 分钟的电影，包括电影名称和具体时长数据。,"g.V().has('Person', 'name', 'Stephen J. Anderson').out('ACTED_IN').has('duration', gt(120)).valueMap('title', 'duration')"
Aziz Ansari (Person) 的出生年份是多少？,"g.V().has('Person', 'name', 'Aziz Ansari').values('born')"
查询人物 Aziz Ansari 的出生日期信息。,"g.V().has('Person', 'name', 'Aziz Ansari').values('born')"
请告诉我演员 Aziz Ansari 是什么时候出生的？,"g.V().has('Person', 'name', 'Aziz Ansari').values('born')"
哪些类型的电影与《阿甘正传》相关联？,"g.V().has('Movie', 'title', 'Forrest Gump').out('HAS_GENRE').elementMap()"
《阿甘正传》这部电影属于哪些分类？,"g.V().has('Movie', 'title', 'Forrest Gump').out('HAS_GENRE').elementMap()"
查询《阿甘正传》的所有电影类型信息。,"g.V().has('Movie', 'title', 'Forrest Gump').out('HAS_GENRE').elementMap()"
列出 Kirk De Micco 出演且片长大于 90 分钟的所有影片名称和时长信息,"g.V().has('Person', 'name', 'Kirk De Micco').out('ACTED_IN').has('duration', gt(90)).valueMap('title', 'duration')"
Kirk De Micco 演了哪些时长超过一个半小时的电影？告诉我片名和具体时长,"g.V().has('Person', 'name', 'Kirk De Micco').out('ACTED_IN').has('duration', gt(90)).valueMap('title', 'duration')"
查询 Kirk De Micco 参演的电影中，哪些的播放时间超过 90 分钟，并返回这些电影的标题和时长数据,"g.V().has('Person', 'name', 'Kirk De Micco').out('ACTED_IN').has('duration', gt(90)).valueMap('title', 'duration')"
"""羔羊的沉默""这部电影的标题是什么？","g.V().has('Movie', 'title', 'The Silence of the Lambs').values('title')"
"查询电影""The Silence of the Lambs""的title属性值。","g.V().has('Movie', 'title', 'The Silence of the Lambs').values('title')"
给我找出标为'Movie'类型且标题是'The Silence of the Lambs'的节点的title字段内容。,"g.V().has('Movie', 'title', 'The Silence of the Lambs').values('title')"
Talisa Soto 出演了多少部作品？,"g.V().has('Person', 'name', 'Talisa Soto').out('ACTED_IN').count()"
统计 Talisa Soto 作为演员参与的电影或节目总数。,"g.V().has('Person', 'name', 'Talisa Soto').out('ACTED_IN').count()"
有多少个影视项目是由 Talisa Soto 参演的？,"g.V().has('Person', 'name', 'Talisa Soto').out('ACTED_IN').count()"
列出由 Philip Seymour Hoffman 出演且片长大于90分钟的所有影片名称和时长信息。,"g.V().has('Person', 'name', 'Philip Seymour Hoffman').out('ACTED_IN').has('duration', gt(90)).valueMap('title', 'duration')"
Philip Seymour Hoffman 参演了哪些时长超过一个半小时的电影？请显示电影标题和播放时间。,"g.V().has('Person', 'name', 'Philip Seymour Hoffman').out('ACTED_IN').has('duration', gt(90)).valueMap('title', 'duration')"
查询演员 Philip Seymour Hoffman 主演的电影中，哪些电影的时长超过了90分钟，并返回这些电影的片名和时长数据。,"g.V().has('Person', 'name', 'Philip Seymour Hoffman').out('ACTED_IN').has('duration', gt(90)).valueMap('title', 'duration')"
列出 James Shigeta 参演的所有超过两小时的电影，并显示片名和时长。,"g.V().has('Person', 'name', 'James Shigeta').out('ACTED_IN').has('duration', gt(120)).valueMap('title', 'duration')"
James Shigeta 演过哪些时长大于 120 分钟的电影？请提供电影名称和具体时长。,"g.V().has('Person', 'name', 'James Shigeta').out('ACTED_IN').has('duration', gt(120)).valueMap('title', 'duration')"
检索由 James Shigeta 主演且放映时间超过 120 分钟的影片信息，包括片名和持续时间。,"g.V().has('Person', 'name', 'James Shigeta').out('ACTED_IN').has('duration', gt(120)).valueMap('title', 'duration')"
Rosanna Arquette 执导了哪些作品？,"g.V().has('Person', 'name', 'Rosanna Arquette').out('DIRECTED').elementMap()"
哪些实体是通过 DIRECTED 关系与 Rosanna Arquette 相连的？,"g.V().has('Person', 'name', 'Rosanna Arquette').out('DIRECTED').elementMap()"
查询 Rosanna Arquette 作为导演关联的所有节点信息。,"g.V().has('Person', 'name', 'Rosanna Arquette').out('DIRECTED').elementMap()"
Ralph Fiennes 导演了哪些作品？  ,"g.V().has('Person', 'name', 'Ralph Fiennes').out('DIRECTED').elementMap()"
列出由 Ralph Fiennes 执导的所有实体。  ,"g.V().has('Person', 'name', 'Ralph Fiennes').out('DIRECTED').elementMap()"
哪些实体是通过 DIRECTED 关系连接到名为 Ralph Fiennes 的人？,"g.V().has('Person', 'name', 'Ralph Fiennes').out('DIRECTED').elementMap()"
列出Anne Hathaway参演的所有超过150分钟的电影名称和对应时长。,"g.V().has('Person', 'name', 'Anne Hathaway').out('ACTED_IN').has('duration', gt(150)).valueMap('title', 'duration')"
Anne Hathaway演过哪些时长在150分钟以上的影片？请提供片名和具体时长。,"g.V().has('Person', 'name', 'Anne Hathaway').out('ACTED_IN').has('duration', gt(150)).valueMap('title', 'duration')"
查询由Anne Hathaway主演且电影时长大于150分钟的影片标题及播放时长信息。,"g.V().has('Person', 'name', 'Anne Hathaway').out('ACTED_IN').has('duration', gt(150)).valueMap('title', 'duration')"
列出'Eugenia Bostwick-Singer'参演的所有超过两小时的影片名称和对应时长。,"g.V().has('Person', 'name', 'Eugenia Bostwick-Singer').out('ACTED_IN').has('duration', gt(120)).valueMap('title', 'duration')"
哪些由'Eugenia Bostwick-Singer'出演的电影时长超过了120分钟？请提供片名和具体时长。,"g.V().has('Person', 'name', 'Eugenia Bostwick-Singer').out('ACTED_IN').has('duration', gt(120)).valueMap('title', 'duration')"
查询演员Eugenia Bostwick-Singer主演的哪些电影时长大于120分钟，并返回这些电影的标题和持续时间。,"g.V().has('Person', 'name', 'Eugenia Bostwick-Singer').out('ACTED_IN').has('duration', gt(120)).valueMap('title', 'duration')"
展示 Edward Norton 出演过的电影涉及哪些类型，并列出完整的路径关系。,"g.V().has('Person', 'name', 'Edward Norton').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
Edward Norton 演过哪些类型的电影？请返回从演员到类型的完整路径信息。,"g.V().has('Person', 'name', 'Edward Norton').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
请查询 Edward Norton 参演作品所属的电影类别，同时提供从演员到类型的完整遍历路径。,"g.V().has('Person', 'name', 'Edward Norton').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
Max Charles演过的电影都分属哪些类型？请列出完整的路径信息。  ,"g.V().has('Person', 'name', 'Max Charles').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
展示演员Max Charles参演影片所属的电影类别，并呈现从演员到类型的完整路径。  ,"g.V().has('Person', 'name', 'Max Charles').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
哪些电影类型与Max Charles出演的作品相关联？需要看到从演员到类型的完整关系路径。,"g.V().has('Person', 'name', 'Max Charles').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
哪些电影或实体是由名为'Bob Weinstein'的人出演的？,"g.V().has('Person', 'name', 'Bob Weinstein').out('ACTED_IN').elementMap()"
'Bob Weinstein'这个人参与了哪些作品的演出，列出这些作品的信息？,"g.V().has('Person', 'name', 'Bob Weinstein').out('ACTED_IN').elementMap()"
请找出所有'Bob Weinstein'以演员身份参与的项目详情。,"g.V().has('Person', 'name', 'Bob Weinstein').out('ACTED_IN').elementMap()"
Giovanni Ribisi 演过的电影涉及哪些类型？请显示完整的关联路径。  ,"g.V().has('Person', 'name', 'Giovanni Ribisi').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
列出 Giovanni Ribisi 出演影片的类型，并返回从演员到类型的完整路径信息。  ,"g.V().has('Person', 'name', 'Giovanni Ribisi').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
展示 Giovanni Ribisi 参演电影的所有类型，同时提供从演员到电影再到类型的完整路径细节。,"g.V().has('Person', 'name', 'Giovanni Ribisi').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
"哪些电影类型的名称是""Comedy""？  ","g.V().has('Genre', 'name', 'Comedy').values('name')"
"给我列出所有属于""Comedy""类型的名称。  ","g.V().has('Genre', 'name', 'Comedy').values('name')"
"查询""Comedy""分类下有哪些名称值？","g.V().has('Genre', 'name', 'Comedy').values('name')"
Lana Wachowski的出生年份是多少？  ,"g.V().has('Person', 'name', 'Lana Wachowski').values('born')"
查询人物Lana Wachowski的出生日期信息。  ,"g.V().has('Person', 'name', 'Lana Wachowski').values('born')"
请告诉我导演Lana Wachowski是在哪一年出生的。,"g.V().has('Person', 'name', 'Lana Wachowski').values('born')"
展示 Clark Duke 出演电影所涉及的所有类型，并列出完整路径关系。  ,"g.V().has('Person', 'name', 'Clark Duke').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
列出演员 Clark Duke 参演影片的所属类型，同时呈现从演员到类型的完整路径。  ,"g.V().has('Person', 'name', 'Clark Duke').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
Clark Duke 演过的电影分别属于什么类型？要求返回包含演员、电影和类型的完整路径信息。,"g.V().has('Person', 'name', 'Clark Duke').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
找出'Abe Vigoda'作为导演执导了多少部作品？,"g.V().has('Person', 'name', 'Abe Vigoda').out('DIRECTED').count()"
'Abe Vigoda'这个人总共导演过多少部电影或节目？,"g.V().has('Person', 'name', 'Abe Vigoda').out('DIRECTED').count()"
统计名为'Abe Vigoda'的人通过DIRECTED关系连接的项目总数。,"g.V().has('Person', 'name', 'Abe Vigoda').out('DIRECTED').count()"
哪些电影或作品是由 Melisa Wallack 出演的？,"g.V().has('Person', 'name', 'Melisa Wallack').out('ACTED_IN').elementMap()"
Melisa Wallack 参与了哪些作品的演出？请列出所有相关条目。,"g.V().has('Person', 'name', 'Melisa Wallack').out('ACTED_IN').elementMap()"
展示 Melisa Wallack 作为演员参演的所有影视项目。,"g.V().has('Person', 'name', 'Melisa Wallack').out('ACTED_IN').elementMap()"
哪些电影是由 Simon Kinberg 执导的？  ,"g.V().has('Person', 'name', 'Simon Kinberg').out('DIRECTED').elementMap()"
Simon Kinberg 作为导演参与了哪些作品？  ,"g.V().has('Person', 'name', 'Simon Kinberg').out('DIRECTED').elementMap()"
请列出所有 Simon Kinberg 导演过的影片信息。,"g.V().has('Person', 'name', 'Simon Kinberg').out('DIRECTED').elementMap()"
'Sterling Hayden' 执导了多少部作品？  ,"g.V().has('Person', 'name', 'Sterling Hayden').out('DIRECTED').count()"
统计名为 'Sterling Hayden' 的人作为导演关联的项目总数。  ,"g.V().has('Person', 'name', 'Sterling Hayden').out('DIRECTED').count()"
有多少实体是通过 'DIRECTED' 关系从 'Sterling Hayden' 这个人物节点出去的？,"g.V().has('Person', 'name', 'Sterling Hayden').out('DIRECTED').count()"
Lambert Wilson 出演了多少部作品？  ,"g.V().has('Person', 'name', 'Lambert Wilson').out('ACTED_IN').count()"
统计 Lambert Wilson 作为演员参与的电影或剧集总数。  ,"g.V().has('Person', 'name', 'Lambert Wilson').out('ACTED_IN').count()"
有多少个作品是 Lambert Wilson 参演的？,"g.V().has('Person', 'name', 'Lambert Wilson').out('ACTED_IN').count()"
Eric Singer这个人的出生年份是什么？,"g.V().has('Person', 'name', 'Eric Singer').values('born')"
查询Person类型中名为Eric Singer的born属性值。,"g.V().has('Person', 'name', 'Eric Singer').values('born')"
告诉我Eric Singer(Person)的出生日期信息。,"g.V().has('Person', 'name', 'Eric Singer').values('born')"
"""电影《黄金三镖客》的宣传语是什么？""  ","g.V().has('Movie', 'title', 'The Good the Bad and the Ugly').values('tagline')"
"""请告诉我《黄金三镖客》这部影片的标语内容。""  ","g.V().has('Movie', 'title', 'The Good the Bad and the Ugly').values('tagline')"
"""查询《黄金三镖客》(Movie)的tagline属性值。""","g.V().has('Movie', 'title', 'The Good the Bad and the Ugly').values('tagline')"
有多少部电影是由 Tim Roth 执导的？,"g.V().has('Person', 'name', 'Tim Roth').out('DIRECTED').count()"
Tim Roth 作为导演参与了多少个项目？,"g.V().has('Person', 'name', 'Tim Roth').out('DIRECTED').count()"
统计 Tim Roth 执导的作品总数是多少？,"g.V().has('Person', 'name', 'Tim Roth').out('DIRECTED').count()"
有多少种电影类型与《飞越疯人院》相关联？,"g.V().has('Movie', 'title', 'One Flew Over the Cuckoo\'s Nest').out('HAS_GENRE').count()"
《飞越疯人院》这部电影被划分到多少个不同的类型类别？,"g.V().has('Movie', 'title', 'One Flew Over the Cuckoo\'s Nest').out('HAS_GENRE').count()"
查询《飞越疯人院》这部影片拥有多少种不同的电影类型标签？,"g.V().has('Movie', 'title', 'One Flew Over the Cuckoo\'s Nest').out('HAS_GENRE').count()"
列出由Cillian Murphy出演且片长超过150分钟的所有电影名称及其时长。,"g.V().has('Person', 'name', 'Cillian Murphy').out('ACTED_IN').has('duration', gt(150)).valueMap('title', 'duration')"
哪些电影的时长超过两个半小时且由Cillian Murphy主演？请提供片名和具体时长。,"g.V().has('Person', 'name', 'Cillian Murphy').out('ACTED_IN').has('duration', gt(150)).valueMap('title', 'duration')"
查询Cillian Murphy参演的电影中，哪些时长在150分钟以上？显示这些影片的标题和持续时间。,"g.V().has('Person', 'name', 'Cillian Murphy').out('ACTED_IN').has('duration', gt(150)).valueMap('title', 'duration')"
Drew Maxwell这个人的出生年份是多少？,"g.V().has('Person', 'name', 'Drew Maxwell').values('born')"
查询Person类型中名为Drew Maxwell的实体的born属性值。,"g.V().has('Person', 'name', 'Drew Maxwell').values('born')"
告诉我Drew Maxwell的出生日期信息。,"g.V().has('Person', 'name', 'Drew Maxwell').values('born')"
'The Dark Knight Rises'这部电影属于哪些类型？,"g.V().has('Movie', 'title', 'The Dark Knight Rises').out('HAS_GENRE').elementMap()"
列出与电影《黑暗骑士崛起》相关联的所有电影类型。,"g.V().has('Movie', 'title', 'The Dark Knight Rises').out('HAS_GENRE').elementMap()"
查询《黑暗骑士崛起》这部影片所拥有的全部类型标签。,"g.V().has('Movie', 'title', 'The Dark Knight Rises').out('HAS_GENRE').elementMap()"
哪些电影有 George A. Romero 参演？,"g.V().has('Person', 'name', 'George A. Romero').out('ACTED_IN').elementMap()"
George A. Romero 出演过哪些作品？,"g.V().has('Person', 'name', 'George A. Romero').out('ACTED_IN').elementMap()"
查询 George A. Romero 作为演员参与的所有影视项目。,"g.V().has('Person', 'name', 'George A. Romero').out('ACTED_IN').elementMap()"
"""科幻""这个分类的名称是什么？","g.V().has('Genre', 'name', 'Sci-Fi').values('name')"
"获取类型为""科幻""的所有实体的name字段值","g.V().has('Genre', 'name', 'Sci-Fi').values('name')"
"列出所有标记为""Sci-Fi""类型的名称属性","g.V().has('Genre', 'name', 'Sci-Fi').values('name')"
哪些电影有 Phil Lord 参演？,"g.V().has('Person', 'name', 'Phil Lord').out('ACTED_IN').elementMap()"
